sex,age_group,preferred_temp,candidate_temp,feels,clothes,activity,position,weight,feedback
male,teen,22,18,hot,normal,move,center,1.2,too_cold
male,teen,22,19,hot,normal,move,center,1.2,too_cold
male,teen,22,20,hot,normal,move,center,1.2,too_cold
male,teen,22,21,hot,normal,move,center,1.2,too_hot
male,teen,22,22,hot,normal,move,center,1.2,good
male,teen,22,23,hot,normal,move,center,1.2,good
male,teen,22,24,hot,normal,move,center,1.2,too_cold
male,teen,22,25,hot,normal,move,center,1.2,too_hot
male,teen,22,26,hot,normal,move,center,1.2,too_hot
male,teen,22,27,hot,normal,move,center,1.2,too_hot
male,teen,22,28,hot,normal,move,center,1.2,too_hot
male,teen,22,29,hot,normal,move,center,1.2,too_hot
male,teen,22,30,hot,normal,move,center,1.2,too_hot
male,senior,27,18,cold,thin,move,window,1.58,too_cold
male,senior,27,19,cold,thin,move,window,1.58,too_cold
male,senior,27,20,cold,thin,move,window,1.58,too_cold
male,senior,27,21,cold,thin,move,window,1.58,too_cold
male,senior,27,22,cold,thin,move,window,1.58,too_cold
male,senior,27,23,cold,thin,move,window,1.58,too_cold
male,senior,27,24,cold,thin,move,window,1.58,too_cold
male,senior,27,25,cold,thin,move,window,1.58,too_cold
male,senior,27,26,cold,thin,move,window,1.58,too_cold
male,senior,27,27,cold,thin,move,window,1.58,good
male,senior,27,28,cold,thin,move,window,1.58,good
male,senior,27,29,cold,thin,move,window,1.58,too_hot
male,senior,27,30,cold,thin,move,window,1.58,too_hot
female,senior,25,18,ok,thin,move,center,1.44,too_cold
female,senior,25,19,ok,thin,move,center,1.44,too_cold
female,senior,25,20,ok,thin,move,center,1.44,too_cold
female,senior,25,21,ok,thin,move,center,1.44,too_cold
female,senior,25,22,ok,thin,move,center,1.44,too_cold
female,senior,25,23,ok,thin,move,center,1.44,too_cold
female,senior,25,24,ok,thin,move,center,1.44,too_cold
female,senior,25,25,ok,thin,move,center,1.44,good
female,senior,25,26,ok,thin,move,center,1.44,good
female,senior,25,27,ok,thin,move,center,1.44,too_cold
female,senior,25,28,ok,thin,move,center,1.44,too_hot
female,senior,25,29,ok,thin,move,center,1.44,too_hot
female,senior,25,30,ok,thin,move,center,1.44,too_hot
male,adult,22,18,ok,thin,move,ac,1.87,too_cold
male,adult,22,19,ok,thin,move,ac,1.87,too_cold
male,adult,22,20,ok,thin,move,ac,1.87,too_cold
male,adult,22,21,ok,thin,move,ac,1.87,good
male,adult,22,22,ok,thin,move,ac,1.87,good
male,adult,22,23,ok,thin,move,ac,1.87,good
male,adult,22,24,ok,thin,move,ac,1.87,too_hot
male,adult,22,25,ok,thin,move,ac,1.87,too_hot
male,adult,22,26,ok,thin,move,ac,1.87,too_hot
male,adult,22,27,ok,thin,move,ac,1.87,too_hot
male,adult,22,28,ok,thin,move,ac,1.87,too_hot
male,adult,22,29,ok,thin,move,ac,1.87,too_hot
male,adult,22,30,ok,thin,move,ac,1.87,too_hot
male,teen,22,18,ok,thick,move,center,0.96,too_cold
male,teen,22,19,ok,thick,move,center,0.96,too_cold
male,teen,22,20,ok,thick,move,center,0.96,good
male,teen,22,21,ok,thick,move,center,0.96,good
male,teen,22,22,ok,thick,move,center,0.96,good
male,teen,22,23,ok,thick,move,center,0.96,too_cold
male,teen,22,24,ok,thick,move,center,0.96,too_cold
male,teen,22,25,ok,thick,move,center,0.96,good
male,teen,22,26,ok,thick,move,center,0.96,too_hot
male,teen,22,27,ok,thick,move,center,0.96,too_hot
male,teen,22,28,ok,thick,move,center,0.96,too_hot
male,teen,22,29,ok,thick,move,center,0.96,too_hot
male,teen,22,30,ok,thick,move,center,0.96,too_hot
female,adult,29,18,cold,thin,still,ac,1.56,too_cold
female,adult,29,19,cold,thin,still,ac,1.56,too_cold
female,adult,29,20,cold,thin,still,ac,1.56,too_cold
female,adult,29,21,cold,thin,still,ac,1.56,too_cold
female,adult,29,22,cold,thin,still,ac,1.56,too_cold
female,adult,29,23,cold,thin,still,ac,1.56,too_cold
female,adult,29,24,cold,thin,still,ac,1.56,too_cold
female,adult,29,25,cold,thin,still,ac,1.56,too_cold
female,adult,29,26,cold,thin,still,ac,1.56,too_cold
female,adult,29,27,cold,thin,still,ac,1.56,too_cold
female,adult,29,28,cold,thin,still,ac,1.56,too_cold
female,adult,29,29,cold,thin,still,ac,1.56,too_cold
female,adult,29,30,cold,thin,still,ac,1.56,good
male,senior,25,18,ok,thin,move,window,1.58,too_cold
male,senior,25,19,ok,thin,move,window,1.58,too_cold
male,senior,25,20,ok,thin,move,window,1.58,too_cold
male,senior,25,21,ok,thin,move,window,1.58,too_cold
male,senior,25,22,ok,thin,move,window,1.58,too_cold
male,senior,25,23,ok,thin,move,window,1.58,too_cold
male,senior,25,24,ok,thin,move,window,1.58,good
male,senior,25,25,ok,thin,move,window,1.58,good
male,senior,25,26,ok,thin,move,window,1.58,good
male,senior,25,27,ok,thin,move,window,1.58,too_hot
male,senior,25,28,ok,thin,move,window,1.58,too_hot
male,senior,25,29,ok,thin,move,window,1.58,too_hot
male,senior,25,30,ok,thin,move,window,1.58,too_hot
female,teen,25,18,cold,normal,still,window,1.1,too_cold
female,teen,25,19,cold,normal,still,window,1.1,too_cold
female,teen,25,20,cold,normal,still,window,1.1,too_cold
female,teen,25,21,cold,normal,still,window,1.1,too_cold
female,teen,25,22,cold,normal,still,window,1.1,too_cold
female,teen,25,23,cold,normal,still,window,1.1,too_cold
female,teen,25,24,cold,normal,still,window,1.1,too_hot
female,teen,25,25,cold,normal,still,window,1.1,good
female,teen,25,26,cold,normal,still,window,1.1,good
female,teen,25,27,cold,normal,still,window,1.1,good
female,teen,25,28,cold,normal,still,window,1.1,too_hot
female,teen,25,29,cold,normal,still,window,1.1,too_hot
female,teen,25,30,cold,normal,still,window,1.1,too_hot
female,senior,29,18,cold,thin,move,ac,1.87,too_cold
female,senior,29,19,cold,thin,move,ac,1.87,too_cold
female,senior,29,20,cold,thin,move,ac,1.87,too_cold
female,senior,29,21,cold,thin,move,ac,1.87,too_cold
female,senior,29,22,cold,thin,move,ac,1.87,too_cold
female,senior,29,23,cold,thin,move,ac,1.87,too_cold
female,senior,29,24,cold,thin,move,ac,1.87,too_cold
female,senior,29,25,cold,thin,move,ac,1.87,too_cold
female,senior,29,26,cold,thin,move,ac,1.87,too_cold
female,senior,29,27,cold,thin,move,ac,1.87,too_cold
female,senior,29,28,cold,thin,move,ac,1.87,too_cold
female,senior,29,29,cold,thin,move,ac,1.87,good
female,senior,29,30,cold,thin,move,ac,1.87,too_cold
female,adult,26,18,cold,normal,still,window,1.1,too_cold
female,adult,26,19,cold,normal,still,window,1.1,too_cold
female,adult,26,20,cold,normal,still,window,1.1,too_cold
female,adult,26,21,cold,normal,still,window,1.1,too_cold
female,adult,26,22,cold,normal,still,window,1.1,too_cold
female,adult,26,23,cold,normal,still,window,1.1,too_cold
female,adult,26,24,cold,normal,still,window,1.1,too_cold
female,adult,26,25,cold,normal,still,window,1.1,too_hot
female,adult,26,26,cold,normal,still,window,1.1,good
female,adult,26,27,cold,normal,still,window,1.1,good
female,adult,26,28,cold,normal,still,window,1.1,too_cold
female,adult,26,29,cold,normal,still,window,1.1,too_hot
female,adult,26,30,cold,normal,still,window,1.1,too_hot
female,teen,24,18,cold,thin,move,center,1.44,too_cold
female,teen,24,19,cold,thin,move,center,1.44,too_cold
female,teen,24,20,cold,thin,move,center,1.44,too_cold
female,teen,24,21,cold,thin,move,center,1.44,too_cold
female,teen,24,22,cold,thin,move,center,1.44,too_cold
female,teen,24,23,cold,thin,move,center,1.44,too_cold
female,teen,24,24,cold,thin,move,center,1.44,good
female,teen,24,25,cold,thin,move,center,1.44,good
female,teen,24,26,cold,thin,move,center,1.44,too_hot
female,teen,24,27,cold,thin,move,center,1.44,too_hot
female,teen,24,28,cold,thin,move,center,1.44,too_hot
female,teen,24,29,cold,thin,move,center,1.44,too_hot
female,teen,24,30,cold,thin,move,center,1.44,too_hot
female,adult,23,18,ok,thin,still,center,1.2,too_cold
female,adult,23,19,ok,thin,still,center,1.2,too_cold
female,adult,23,20,ok,thin,still,center,1.2,too_cold
female,adult,23,21,ok,thin,still,center,1.2,too_cold
female,adult,23,22,ok,thin,still,center,1.2,too_cold
female,adult,23,23,ok,thin,still,center,1.2,good
female,adult,23,24,ok,thin,still,center,1.2,good
female,adult,23,25,ok,thin,still,center,1.2,too_cold
female,adult,23,26,ok,thin,still,center,1.2,too_hot
